name,typ1,typ2,typ3,lon,lat
中山亭,风景名胜,风景名胜,风景名胜,112.976023,28.200428
长沙湘江风光带-碧湘门广场,风景名胜,公园广场,城市广场,112.968191,28.179293
谭嗣同故居,风景名胜,风景名胜,风景名胜,113.630832,28.141246
岳麓山国家重点风景名胜区-蟒蛇洞,风景名胜,风景名胜相关,旅游景点,112.936701,28.185363
益启足球公园,风景名胜,公园广场,公园,113.062436,28.159955
新民学会成立会旧址,风景名胜,风景名胜,纪念馆,112.952479,28.193269
洪山寺,风景名胜,风景名胜,寺庙道观,113.030962,28.259434
岳麓山抗战文化园,风景名胜,风景名胜,风景名胜,112.945867,28.188904
湖南松雅湖国家湿地公园,风景名胜,风景名胜,风景名胜,113.105304,28.265662
靖港古镇-恐龙化石馆,风景名胜,风景名胜,风景名胜,112.790998,28.458182
海底世界-极地海洋馆,风景名胜,公园广场,水族馆,113.056237,28.232119
花炮博物馆-李畋庙,风景名胜,风景名胜,寺庙道观,113.724742,27.989564
石燕湖生态旅游公园-爬行动物园,风景名胜,公园广场,动物园,113.081798,28.006721
官桥镇钟馗庙,风景名胜,风景名胜,寺庙道观,113.341461,27.859449
观音殿,风景名胜,风景名胜,寺庙道观,112.371920,28.187461
棠坡清代民居,风景名胜,风景名胜,风景名胜,113.142076,28.399795
龙潭风景区,风景名胜,风景名胜,风景名胜,113.671577,28.434497
浏阳河婚庆文化园,风景名胜,公园广场,公园,113.046041,28.190135
西湖楼(三一大道),风景名胜,风景名胜,风景名胜,113.042175,28.232916
密印寺-沩山风景名胜区,风景名胜,风景名胜,风景名胜,111.970406,28.178108
大韩民国临时政府(长沙)活动旧址,风景名胜,风景名胜,风景名胜,112.973892,28.202419
东方红广场,风景名胜,公园广场,城市广场,112.944271,28.179406
揽岳亭,风景名胜,风景名胜,风景名胜,112.959535,28.169047
长沙电视塔,风景名胜,风景名胜,风景名胜,112.936773,28.186866
长沙龙凤山风景区,风景名胜,风景名胜,风景名胜,112.567676,28.169427
松柏寺,风景名胜,风景名胜,寺庙道观,113.073746,28.237649
岳麓山国家重点风景名胜区-白鹤泉,风景名胜,风景名胜,风景名胜,112.933624,28.179955
四玛园林,风景名胜,公园广场,公园,112.678187,28.220317
梅公馆旧址,风景名胜,风景名胜,风景名胜,112.970913,28.185805
南郊公园趣乐园,风景名胜,公园广场,公园,112.964145,28.140755
西文庙坪牌坊,风景名胜,风景名胜,风景名胜,112.971839,28.184847
岳麓山国家重点风景名胜区-古炮台,风景名胜,风景名胜相关,旅游景点,112.931320,28.184392
湖南烈士公园风雨桥,风景名胜,风景名胜,风景名胜,113.003904,28.214406
胡耀邦故居,风景名胜,风景名胜,国家级景点,113.886339,28.078068
韩玄墓,风景名胜,风景名胜,风景名胜,112.974625,28.185517
岳麓山国家重点风景名胜区-仰云亭,风景名胜,风景名胜,风景名胜,112.935050,28.180767
蔡和森故居,风景名胜,风景名胜,纪念馆,112.952576,28.193212
风帆广场,风景名胜,公园广场,城市广场,112.971805,28.208792
烈士公园-湖南民俗文化村,风景名胜,风景名胜,风景名胜,113.0073,28.211692
周洛大峡谷,风景名胜,风景名胜,省级景点,113.66668,28.433396
岳麓山国家重点风景名胜区-飞来石,风景名胜,风景名胜相关,旅游景点,112.934110,28.177337
神仙井,风景名胜,风景名胜,风景名胜,112.556064,28.259491
原长沙海关公廨旧址,风景名胜,风景名胜,风景名胜,112.961857,28.193305
橘子洲景区-观景台,风景名胜,风景名胜,观景点,112.960251,28.165235
大王庙,风景名胜,风景名胜,寺庙道观,113.059430,28.217119
渡学楼,风景名胜,风景名胜,风景名胜,112.961517,28.175125
印章广场,风景名胜,风景名胜相关,旅游景点,112.968908,28.187997
许光达故居,风景名胜,风景名胜,纪念馆,113.090291,28.136115
靖港古镇观音寺,风景名胜,风景名胜,寺庙道观,112.785042,28.455373
铁炉寺,风景名胜,风景名胜,寺庙道观,113.031558,28.312196
三珍虎园,风景名胜,风景名胜相关,旅游景点,113.342424,28.571879
辛亥革命纪念馆,风景名胜,风景名胜,纪念馆,113.103835,28.117131
指点江山,风景名胜,风景名胜,风景名胜,112.960148,28.165814
岳麓山国家重点风景名胜区-穿石坡,风景名胜,风景名胜,风景名胜,112.937682,28.176122
黄兴墓,风景名胜,风景名胜,风景名胜,112.931946,28.180496
尖山湖公园,风景名胜,公园广场,公园,112.873246,28.238835
湘绣园,风景名胜,公园广场,公园|商务住宅,113.071662,28.246060
大椿桥社区公园,风景名胜,公园广场,公园,112.968309,28.172041
石燕湖黑龙潭地下峡谷漂流,风景名胜,风景名胜,风景名胜,113.085160,28.003342
长沙府学宫遗址,风景名胜,风景名胜,风景名胜,112.971831,28.184699
回龙山景区,风景名胜,风景名胜,风景名胜,112.354123,28.104039
徐特立同志故居,风景名胜,风景名胜,纪念馆,113.286533,28.069258
长沙湘江风光带-电灯公司遗址,风景名胜,风景名胜,风景名胜,112.967852,28.176531
烈士墓,风景名胜,风景名胜,风景名胜,113.753975,28.278272
大围山国家森林公园-栗木桥景区,风景名胜,风景名胜,风景名胜,114.079290,28.423496
紫霞寺,风景名胜,风景名胜,寺庙道观,113.217923,28.074504
洋湖湿地公园先导牛广场,风景名胜,公园广场,公园广场,112.936331,28.124384
中山纪念林碑,风景名胜,风景名胜,风景名胜,112.935884,28.175508
云麓长廊,风景名胜,风景名胜相关,旅游景点,112.952630,28.165670
长沙市基督教城南堂,风景名胜,风景名胜,教堂,112.976421,28.180486
屈子祠,风景名胜,风景名胜,风景名胜,112.939810,28.180490
枕江亭,风景名胜,风景名胜,风景名胜,112.960649,28.169284
西湖文化园-西湖公园,风景名胜,公园广场,公园,112.934674,28.203318
花炮博物馆,科教文化服务,博物馆,博物馆|风景名胜,113.725415,27.990326
沙湾公园,风景名胜,公园广场,公园,113.039735,28.155287
湘江江滩公园,风景名胜,公园广场,公园,112.953893,28.146990
长沙海底世界-观鱼池,风景名胜,风景名胜相关,旅游景点,113.055751,28.232085
古开福寺-大雄宝殿,风景名胜,风景名胜相关,旅游景点,112.977916,28.224824
明月亭,风景名胜,风景名胜相关,旅游景点,112.992760,28.134756
密印寺-圆光观音,风景名胜,风景名胜相关,旅游景点,111.969371,28.181592
岩溪,风景名胜,风景名胜相关,旅游景点,113.113832,28.440780
长沙郊野公园,风景名胜,公园广场,公园,112.879682,28.151164
橘子洲景区-朱张渡东,风景名胜,风景名胜,风景名胜,112.961868,28.175140
胡耀邦同志纪念馆,风景名胜,风景名胜,纪念馆,113.888135,28.076980
刘少奇同志纪念馆职工之家,风景名胜,风景名胜相关,旅游景点,112.646021,28.038205
沩山密印景区(西2出口),风景名胜,风景名胜相关,旅游景点,111.968248,28.175485
天心湖湿地,风景名胜,风景名胜相关,旅游景点,114.125022,28.413810
石燕湖生态旅游公园-森林迷宫,风景名胜,风景名胜相关,旅游景点,113.089495,28.007952
关山古镇-七星坛,风景名胜,风景名胜相关,旅游景点,112.678185,28.296634
胡耀邦故里-凉亭,风景名胜,风景名胜相关,旅游景点,113.888421,28.082878
二圣山,风景名胜,风景名胜,寺庙道观,113.320325,28.082970
长沙生态动物园-野马,风景名胜,风景名胜相关,旅游景点,113.010064,28.032794
远大美宅公园,风景名胜,公园广场,公园,112.938446,28.225101
长沙生态动物园-马鹿,风景名胜,风景名胜相关,旅游景点,113.009125,28.032116
中南大学-荷花池,风景名胜,风景名胜,风景名胜,112.929638,28.171749
问天台,风景名胜,风景名胜,风景名胜,112.960095,28.165423
岳麓山国家重点风景名胜区-清风峡,风景名胜,风景名胜相关,旅游景点,112.937197,28.180458
芙蓉广场,风景名胜,公园广场,城市广场,112.984871,28.195968
马艺文馆,风景名胜,风景名胜相关,旅游景点,112.949404,28.163957
美孚洋行旧址,风景名胜,风景名胜,风景名胜,112.961776,28.188079
赫曦台,风景名胜,风景名胜相关,旅游景点,112.9416,28.18028
思邈公园,风景名胜,公园广场,公园,113.638536,28.145038
刘少奇纪念馆,风景名胜,风景名胜,纪念馆,112.644844,28.031470
洪山庙,风景名胜,风景名胜,寺庙道观,112.583112,28.261499
洪山庙,风景名胜,风景名胜,寺庙道观,112.783127,28.308849
石柱峰,地名地址信息,自然地名,山|风景名胜,113.673540,28.405889
唐田庙,风景名胜,风景名胜,寺庙道观,113.146158,28.430471
宁乡文化体育活动中心,风景名胜,公园广场,城市广场,112.539177,28.273633
望麓园故址,风景名胜,风景名胜相关,旅游景点,112.984011,28.201395
火宫殿牌楼,风景名胜,风景名胜,风景名胜,112.973760,28.190180
白鹭塔,风景名胜,风景名胜,风景名胜,112.931203,28.124204
岳麓山-滑道,风景名胜,风景名胜相关,旅游景点,112.931332,28.177691
火车头公园,风景名胜,公园广场,公园,112.96202,28.148121
齐天古庙,风景名胜,风景名胜,寺庙道观,112.754558,28.223790
五一广场,风景名胜,公园广场,城市广场,112.977361,28.19652
八路军驻湘通讯处旧址,风景名胜,风景名胜,风景名胜,112.981687,28.197626
自卑亭,风景名胜,风景名胜,风景名胜,112.944523,28.179677
岳麓山国家重点风景名胜区-隋舍利塔,风景名胜,风景名胜,风景名胜,112.937007,28.179846
李公仲麟之墓,风景名胜,风景名胜,风景名胜,112.938846,28.176991
新星小区广场,风景名胜,公园广场,城市广场,113.027942,28.141888
科普广场,风景名胜,公园广场,城市广场,113.006526,28.178198
长沙新世纪体育文化广场,风景名胜,公园广场,城市广场,112.985228,28.177191
长沙古护城河故址,风景名胜,风景名胜相关,旅游景点,112.986710,28.203740
李富春故居,风景名胜,风景名胜,纪念馆,112.973932,28.192458
市城隍庙,风景名胜,风景名胜,寺庙道观,113.628407,28.172100
覃振墓,风景名胜,风景名胜,风景名胜,112.941324,28.178714
刘道一墓,风景名胜,风景名胜,风景名胜,112.936692,28.179662
湖南大学英语公园,风景名胜,公园广场,公园,112.945255,28.17826
金科湖湘公园,风景名胜,公园广场,公园,112.886116,28.240056
银杏园,风景名胜,公园广场,公园,113.075706,28.232206
鄱阳社区公园,风景名胜,公园广场,公园,113.015620,28.087230
和园,风景名胜,公园广场,公园,112.822703,28.342897
钟馗庙,风景名胜,风景名胜,寺庙道观,112.802035,28.357477
稻花香里农耕文化园,风景名胜,风景名胜,风景名胜,112.664363,28.330973
风车谷童话小镇,风景名胜,风景名胜,风景名胜,113.167536,28.122415
影珠山森林公园,风景名胜,公园广场,公园,113.193598,28.531145
宝盖寺,风景名胜,风景名胜,寺庙道观,113.742376,28.354702
仙剑瀑布,风景名胜,风景名胜相关,旅游景点,114.056943,28.381855
北斗庵瀑布,风景名胜,风景名胜相关,旅游景点,113.663169,28.431219
沙坪湘绣文化广场,风景名胜,公园广场,城市广场,113.022357,28.353807
左宗棠墓,风景名胜,风景名胜,风景名胜,113.092734,28.092439
浏阳河第一湾,风景名胜,风景名胜,风景名胜,113.809796,28.173263
靖港古镇-江西会馆旧址,风景名胜,风景名胜,风景名胜,112.792710,28.459393
王首道同志故居,风景名胜,风景名胜,风景名胜,114.199165,28.366687
麓山忠烈祠,风景名胜,风景名胜,风景名胜,112.945894,28.189102
靖港古镇-陶承故居,风景名胜,风景名胜,风景名胜,112.790989,28.458173
烈士公园-潇湘阁,风景名胜,风景名胜,风景名胜,113.004096,28.213423
烈士公园,风景名胜,公园广场,公园|生活服务,113.627823,28.142727
锦绶堂,风景名胜,风景名胜,省级景点,114.032492,28.458062
萧朝贵阵亡处,风景名胜,公园广场,城市广场,112.974982,28.178485
大德白沙井,风景名胜,风景名胜相关,旅游景点,112.983889,28.180229
洋海塘社区公园,风景名胜,公园广场,公园,112.924975,28.158846
药王殿,风景名胜,风景名胜,寺庙道观,112.556432,28.254727
湘江评论印刷处旧址,风景名胜,风景名胜,风景名胜,112.977938,28.188989
岳麓山国家重点风景名胜区-观音阁,风景名胜,风景名胜相关,旅游景点,112.933902,28.180288
中澳蓝鹰国防主题公园,风景名胜,公园广场,公园,113.792,28.299144
斑马湖(高塘岭大道),风景名胜,风景名胜,风景名胜,112.825171,28.35803
长沙红星社区公园,风景名胜,公园广场,公园,113.004445,28.121174
靖港古镇-宏泰坊,风景名胜,风景名胜相关,旅游景点,112.789551,28.456793
紫凤体育公园,风景名胜,公园广场,公园广场|体育休闲服务,112.976528,28.227181
老动物园旁,风景名胜,风景名胜相关,旅游景点,112.998360,28.215539
橘子洲景区-萤火虫主题公园,风景名胜,公园广场,公园,112.964049,28.201094
靖港古镇-江南民俗文物馆,风景名胜,风景名胜,风景名胜,112.790020,28.457160
烈士谭馥之墓,风景名胜,风景名胜,风景名胜,112.932845,28.180593
刘昆涛墓,风景名胜,风景名胜,风景名胜,112.941326,28.178711
大山冲森林公园,风景名胜,公园广场,公园,113.304540,28.410979
湖南省青羊湖国家森林公园,风景名胜,风景名胜,风景名胜,112.068822,28.163997
石燕湖生态旅游公园-财神庙,风景名胜,风景名胜,寺庙道观,113.089407,28.010688
观音寺,风景名胜,风景名胜,寺庙道观,113.556304,28.462764
观音堂,风景名胜,风景名胜,寺庙道观,113.701477,28.039074
观音庙,风景名胜,风景名胜,寺庙道观,113.737268,28.281492
逍遥园,风景名胜,风景名胜,风景名胜,113.033011,28.312606
陈氏宗祠,风景名胜,风景名胜,寺庙道观,113.727439,27.984707
紫云山,风景名胜,风景名胜,风景名胜,113.530760,28.307365
商代四羊方尊遗址,风景名胜,风景名胜,风景名胜,112.039581,28.211779
晓园公园-青年湖,风景名胜,风景名胜相关,旅游景点,113.007873,28.195286
尖山湖公园南入口广场,风景名胜,公园广场,城市广场,112.870415,28.236866
梅溪湖公园-钻石宫,风景名胜,风景名胜,风景名胜,112.903250,28.192980
东站北路社区公园,风景名胜,公园广场,公园,113.004831,28.240215
基督教堂,风景名胜,风景名胜,教堂,112.564334,28.259597
科普微公园,风景名胜,公园广场,公园,112.996516,28.144531
德天花海,风景名胜,风景名胜相关,旅游景点,113.424368,28.169079
碑刻,风景名胜,风景名胜相关,旅游景点,113.747836,28.276945
晓园公园-和平广场,风景名胜,公园广场,城市广场,113.008892,28.195356
乐园,风景名胜,公园广场,公园,113.075065,28.191663
跃洲鳄鱼谷,风景名胜,风景名胜相关,旅游景点,112.744020,28.426273
石燕湖生态旅游公园-石燕湖飞索,风景名胜,风景名胜相关,旅游景点,113.090285,28.012552
石燕湖生态公园-攀岩,风景名胜,风景名胜相关,旅游景点,113.084477,28.004289
长沙南站西广场,风景名胜,公园广场,城市广场,113.062617,28.146915
财神殿,风景名胜,风景名胜,寺庙道观,112.973686,28.190521
观音殿,风景名胜,风景名胜,寺庙道观,112.973960,28.190494
靖港古镇-八元堂,风景名胜,风景名胜相关,旅游景点,112.789950,28.457024
飞龙殿财神庙,风景名胜,风景名胜,寺庙道观,113.623583,28.148503
刘少奇同志纪念馆-花明楼广场,风景名胜,公园广场,城市广场,112.644850,28.031630
雅颂居江景花园,风景名胜,公园广场,公园广场,112.961774,28.123025
道然湖生态旅游景区,风景名胜,风景名胜,风景名胜,113.664420,28.277020
书堂山欧阳询文化园,风景名胜,风景名胜,风景名胜,112.888397,28.395357
湖南烈士公园-曲廊,风景名胜,风景名胜相关,旅游景点,113.005240,28.213229
道中庸亭遗址,风景名胜,风景名胜,风景名胜,112.938700,28.181754
仙鹤古樟树,风景名胜,公园广场,公园,113.359515,27.931491
观音古寺,风景名胜,风景名胜,寺庙道观,113.892677,28.058668
南峰寺,风景名胜,风景名胜,寺庙道观,113.819893,27.994495
大围山东麓园风景名胜区,风景名胜,风景名胜,省级景点,114.195155,28.422630
普济寺,风景名胜,风景名胜,寺庙道观,113.953050,28.211799
社龙祠,风景名胜,风景名胜,寺庙道观,113.754906,27.966896
鹿芝岭新石器遗址,风景名胜,风景名胜,风景名胜,113.122543,28.110549
将军庙,风景名胜,风景名胜,寺庙道观,113.382971,27.985555
合灵庙,风景名胜,风景名胜,寺庙道观,113.388225,28.623423
缪伯英故居,风景名胜,风景名胜,纪念馆,113.223278,28.621163
豹子岭社区公园,风景名胜,公园广场,公园,112.966906,28.123525
丁文江墓,风景名胜,风景名胜相关,旅游景点,112.930014,28.176118
月桂社区公园,风景名胜,公园广场,公园,113.021597,28.204687
应许堂,风景名胜,风景名胜,教堂,113.118548,28.253515
张辉瓒墓,风景名胜,风景名胜相关,旅游景点,112.935067,28.181254
长沙县金井镇拔茅古寺,风景名胜,风景名胜,寺庙道观,113.393925,28.563419
陈大仙人庙,风景名胜,风景名胜,寺庙道观,113.660741,28.128813
裕源糟坊,风景名胜,风景名胜相关,旅游景点,112.811670,28.403658
天际岭国家森林公园,风景名胜,风景名胜,国家级景点,113.022247,28.102048
丰泉古井,风景名胜,风景名胜,风景名胜,112.980184,28.188768
太平老街,风景名胜,风景名胜,风景名胜,112.97207,28.193519
观礼台,风景名胜,风景名胜相关,旅游景点,113.668724,28.158598
杨孝子庙,风景名胜,风景名胜,寺庙道观,113.633644,28.148458
长胜庙,风景名胜,风景名胜,寺庙道观,113.009618,28.249455
千龙湖国家湿地公园,风景名胜,风景名胜,国家级景点,112.700472,28.410880
谭嗣同纪念馆,风景名胜,风景名胜,纪念馆,113.630543,28.136070
长沙望城斑马湖,风景名胜,公园广场,公园,112.825568,28.357812
龙王祠,风景名胜,风景名胜,寺庙道观,113.554812,28.216386
金岭社区公园,风景名胜,公园广场,公园,112.944098,28.242130
谷山体育公园,风景名胜,公园广场,公园,112.909077,28.274597
肖劲光大将,风景名胜,风景名胜,风景名胜,112.934818,28.175654
青羊湖,风景名胜,风景名胜,风景名胜,112.088230,28.153408
橘子洲民俗文化园,风景名胜,公园广场,公园|风景名胜,112.963500,28.199708
月亮潭,风景名胜,风景名胜相关,旅游景点,113.637740,28.447242
书院路社区公园,风景名胜,公园广场,公园,112.971258,28.174226
湖南省森林植物园-天际阁,风景名胜,风景名胜,风景名胜,113.024462,28.101396
古开福寺,风景名胜,风景名胜,风景名胜,112.978313,28.224355
陈天华姚宏业墓,风景名胜,风景名胜相关,旅游景点,112.934913,28.181382
秀峰山公园,风景名胜,公园广场,公园,112.977347,28.291095
通程商业广场,风景名胜,公园广场,城市广场,113.080342,28.244257
长沙徐特立公园,风景名胜,公园广场,公园|风景名胜,113.080353,28.257351
同仁里,风景名胜,风景名胜,风景名胜,112.974503,28.198817
天主堂,风景名胜,风景名胜,教堂,112.979658,28.210242
宇蓉体育文化有限公司蹦范蹦床主题公园,风景名胜,风景名胜相关,旅游景点,112.954140,28.220670
戴公庙,风景名胜,风景名胜,寺庙道观,112.901648,28.272540
星沙文化公园,风景名胜,公园广场,公园,113.075259,28.236131
石燕湖生态公园-石燕湖森林动物园,风景名胜,公园广场,动物园,113.084261,28.004367
毛泽东与第一师范纪念馆,风景名胜,风景名胜,纪念馆,112.971761,28.175978
太平老街-贾谊故居,风景名胜,风景名胜,纪念馆,112.971985,28.192647
高山滑道,风景名胜,风景名胜,风景名胜,112.943387,28.191994
橘子洲焰火燃放广场,风景名胜,公园广场,城市广场,112.961405,28.183277
晓园公园,风景名胜,公园广场,公园,113.008374,28.195089
西湖文化园,风景名胜,公园广场,公园,112.941743,28.209154
清真寺,风景名胜,风景名胜,回教寺,112.982632,28.180175
佳境天成社区公园,风景名胜,公园广场,公园广场,113.011685,28.156712
马王堆汉墓,风景名胜,风景名胜,风景名胜,113.027424,28.205496
靖港古镇-宁乡会馆,风景名胜,风景名胜,风景名胜,112.789913,28.457192
天心阁关圣庙,风景名胜,风景名胜,寺庙道观,113.521457,28.347447
竹荆寺,风景名胜,风景名胜,寺庙道观,112.669904,28.333342
天王殿,风景名胜,风景名胜,风景名胜,113.629160,28.137246
雅雀湖社区公园,风景名胜,公园广场,公园,113.016697,28.234556
脸谱广场,风景名胜,公园广场,城市广场,112.966838,28.169121
桃园,风景名胜,风景名胜,风景名胜,112.961298,28.179109
北塘庙,风景名胜,风景名胜,寺庙道观,112.944535,28.046285
汀澜公园,风景名胜,公园广场,公园,112.895756,28.369657
影珠山抗战遗址公园,风景名胜,风景名胜相关,旅游景点,113.191863,28.531031
乌龙山,风景名胜,风景名胜,风景名胜,113.518960,28.224934
杲山禅寺,风景名胜,风景名胜,寺庙道观,112.788142,28.384167
观音阁,风景名胜,风景名胜,寺庙道观,112.686673,28.374354
修业广场,风景名胜,公园广场,城市广场,113.084033,28.184186
桃花谷,风景名胜,风景名胜,风景名胜,112.357430,27.989011
湖畔情景购物公园,风景名胜,公园广场,公园,112.878214,28.270101
青阳山道院,风景名胜,风景名胜,寺庙道观,113.623849,28.133241
福主庙,风景名胜,风景名胜,寺庙道观,113.649535,28.142089
培文塔,风景名胜,风景名胜,风景名胜,113.525354,28.424540
四羊方尊广场,风景名胜,风景名胜,风景名胜,112.967031,28.171245
泉湖寺,风景名胜,风景名胜,寺庙道观,112.937713,28.023205
教学斋,风景名胜,风景名胜,风景名胜,112.940992,28.180263
赐闲湖故址,风景名胜,风景名胜,风景名胜,112.979110,28.204016
清水塘毛泽东杨开慧故居,风景名胜,风景名胜,纪念馆,112.989115,28.199472
谭嗣同烈士墓,风景名胜,风景名胜,风景名胜,113.666626,28.076126
石燕湖生态旅游公园-龙洞,风景名胜,风景名胜,风景名胜,113.085171,28.003340
李维汉故居,风景名胜,风景名胜,纪念馆,113.299869,28.487745
雷公园,风景名胜,公园广场,公园,113.410459,28.036406
紫云宫,风景名胜,风景名胜,风景名胜,113.297507,28.506414
八曲河湿地公园,风景名胜,公园广场,公园,112.692940,28.273686
顺天科普广场,风景名胜,公园广场,城市广场,112.986512,28.190071
